,CPI,BPP,NASDAQ
3/20/10,99.05217,100.1056,#N/A
3/21/10,99.05217,100.1317,#N/A
3/22/10,99.05217,100.1136,2395.4
3/23/10,99.05217,100.1225,2415.24
3/24/10,99.05217,100.0612,2398.76
3/25/10,99.05217,100.0648,2397.41
3/26/10,99.05217,100.0526,2395.13
3/27/10,99.05217,100.0561,#N/A
3/28/10,99.05217,100.0428,#N/A
3/29/10,99.05217,100.0933,2404.36
3/30/10,99.05217,100.0955,2410.69
3/31/10,99.05217,100.0843,2397.96
4/1/10,99.45891,100.1111,2402.58
4/2/10,99.45891,100.1214,#N/A
4/3/10,99.45891,100.1414,#N/A
4/4/10,99.45891,100.1758,#N/A
4/5/10,99.45891,100.1794,2429.53
4/6/10,99.45891,100.216,2436.81
4/7/10,99.45891,100.168,2431.16
4/8/10,99.45891,100.2058,2436.81
4/9/10,99.45891,100.2761,2454.05
4/10/10,99.45891,100.3007,#N/A
4/11/10,99.45891,100.3181,#N/A
4/12/10,99.45891,100.2946,2457.87
4/13/10,99.45891,100.293,2465.99
4/14/10,99.45891,100.3914,2504.86
4/15/10,99.45891,100.4136,2515.69
4/16/10,99.45891,100.4455,2481.26
4/17/10,99.45891,100.4793,#N/A
4/18/10,99.45891,100.4974,#N/A
4/19/10,99.45891,100.5139,2480.11
4/20/10,99.45891,100.5196,2500.31
4/21/10,99.45891,100.6283,2504.61
4/22/10,99.45891,100.6277,2519.07
4/23/10,99.45891,100.6723,2530.15
4/24/10,99.45891,100.6639,#N/A
4/25/10,99.45891,100.6729,#N/A
4/26/10,99.45891,100.7176,2522.95
4/27/10,99.45891,100.7222,2471.47
4/28/10,99.45891,100.7635,2471.73
4/29/10,99.45891,100.8289,2511.92
4/30/10,99.45891,100.8423,2461.19
5/1/10,99.63166,100.8534,#N/A
5/2/10,99.63166,100.8683,#N/A
5/3/10,99.63166,100.8631,2498.74
5/4/10,99.63166,100.8846,2424.25
5/5/10,99.63166,100.922,2402.29
5/6/10,99.63166,100.976,2319.64
5/7/10,99.63166,101.0197,2265.64
5/8/10,99.63166,101.0112,#N/A
5/9/10,99.63166,101.0164,#N/A
5/10/10,99.63166,101.0019,2374.67
5/11/10,99.63166,101.0095,2375.31
5/12/10,99.63166,100.9961,2425.02
5/13/10,99.63166,101.02,2394.36
5/14/10,99.63166,101.0039,2346.85
5/15/10,99.63166,101.0074,#N/A
5/16/10,99.63166,100.9612,#N/A
5/17/10,99.63166,100.9415,2354.23
5/18/10,99.63166,100.9101,2317.26
5/19/10,99.63166,100.8891,2298.37
